,portid,Score
130,3826087012661391104,0.5450551901934322
148,3768170840939476993,0.5416054031921542
82,4020204877254599680,0.4651328824307098
126,3999240873283311617,0.44304677229162914
35,3986814617275053313,0.42872305472573585
85,4022641794255717633,0.42493018889454803
128,3956048468100538880,0.40634558342483634
140,4039129759104249600,0.38515142485410125
21,3891020560590657281,0.38131672879358286
118,3907081197088384000,0.3764389267148678
40,4035430878731345664,0.358650152917507
117,3943533600390906881,0.3563974400128469
81,3944658614777849089,0.3541834129686023
109,4039279455324236544,0.3513413024743467
94,3944088772635000577,0.34508949038190684
28,4029422834086627072,0.34328368044423846
9,4029749871687083265,0.34115958350237574
146,4028701921959171840,0.3400406823806903
119,3886752488982104320,0.3353773258114242
87,4022565861939831809,0.3305935887381166
